晶片號碼,遺失地點是否具體,是否包含毛色特徵,是否有清楚的特徵描述,遺失時間是否明確,資料是否適合公告,建議補充哪些資訊以增加協尋成功率,是否有附圖片
900073000546657,是,是,是,是,是,無,是
900073000112053,是,是,是,是,是,請補充個性特徵,是
900073000691476,是,是,是,是,是,請補充個性特徵,是
900156999020697,是,是,是,是,是,請補充個性特徵,是
900073000301595,是,是,是,是,是,請補充個性特徵,是
981020000508925,是,是,是,是,是,請補充個性特徵,是
900138001064602,是,是,是,是,是,請補充個性特徵,是
900073000599740,是,是,否,是,是,請補充更詳細的特徵描述與個性,是
900073000494560,是,是,是,是,是,請補充個性特徵,是
900073000392493,否,否,否,是,否,請補充遺失地點、毛色、外觀與特徵等所有資訊,是
900073000392482,否,否,否,是,否,請補充遺失地點、毛色、外觀與特徵等所有資訊,是
900073000390682,是,是,否,是,是,請補充外觀與更詳細的特徵描述,是
990000003126334,是,是,否,是,是,請補充更詳細的特徵描述與個性,是
900073000303232,是,是,是,是,是,請補充個性特徵,是
900138001410691,是,是,是,是,是,請補充個性特徵,是
900073000742193,是,是,否,是,是,請補充更詳細的特徵描述與個性,是
900073000223703,是,否,是,是,是,請補充毛色與外觀,是
900073000223024,是,是,是,是,是,請補充個性特徵,是
900108001382774,是,是,是,是,是,請補充個性特徵,是
900108001430881,是,是,是,是,是,請補充個性特徵,是
900108001382777,是,是,是,是,是,請補充個性特徵,是
992007300182042,是,是,是,是,是,請補充個性特徵,是
953010007871938,是,是,否,是,是,請補充個性特徵,是
900073000822362,是,是,是,是,是,請補充個性特徵,是
900073000822360,否,否,否,是,否,請補充遺失地點、毛色、外觀與特徵等所有資訊,是
900022092021475,否,否,否,是,否,請補充遺失地點、毛色、外觀與特徵等所有資訊,是
900073000353418,是,否,否,是,否,請補充毛色與外觀與更詳細的特徵描述,是
900138001410690,是,是,是,是,是,請補充個性特徵,是
900108001403312,是,是,是,是,是,請補充個性特徵,是
900073000386526,是,是,是,是,是,請補充個性特徵,是
990002000021475,是,否,否,是,否,請補充毛色,外觀
990002000021474,是,否,否,是,否,請補充毛色、外觀與特徵,是
990002000021473,否,否,否,是,否,請補充遺失地點、毛色、外觀與特徵等所有資訊,是
990002000103640,否,否,否,是,否,請補充遺失地點、毛色、外觀與特徵等所有資訊,是
990002000149599,否,否,否,是,否,請補充遺失地點、毛色、外觀與特徵等所有資訊,是
990002000149582,否,否,否,是,否,請補充遺失地點、毛色、外觀與特徵等所有資訊,是
900250001034254,否,否,否,是,否,請補充遺失地點、毛色、外觀與特徵等所有資訊,是
992007300011218,否,否,否,是,否,請補充遺失地點、毛色、外觀與特徵等所有資訊,是
900073000392070,是,是,否,是,是,請補充更詳細的特徵描述與個性,是
900138001326635,否,否,否,是,否,請補充遺失地點、毛色、外觀與特徵等所有資訊,是
953010000450600,否,否,否,是,否,請補充遺失地點、毛色、外觀與特徵等所有資訊,是
900073000501855,是,否,否,是,否,請補充毛色與特徵,是
900073000502844,是,否,否,是,否,請補充毛色與特徵,是
900073000690745,是,是,否,是,是,請補充更詳細的特徵描述與個性,是
900215000489242,是,是,是,是,是,請補充個性特徵,是
900008800174844,是,是,是,是,是,請補充個性特徵,是
992007300173582,否,否,否,是,否,請補充遺失地點、毛色、外觀與特徵等所有資訊,是
900138000225695,是,是,否,是,是,請補充個性特徵,是
900138000491056,是,是,是,是,是,請補充個性特徵,是
900073000737940,是,是,是,是,是,請補充個性特徵,是
900115000281439,是,是,是,是,是,請補充個性特徵,是
953010006447439,是,是,是,是,是,請補充個性特徵,是
900073000842834,是,是,是,是,是,請補充個性特徵,是
900219000072848,是,是,是,是,是,請補充個性特徵,是
953010005770455,否,否,否,是,否,請補充遺失地點、毛色、外觀與特徵等所有資訊,是
900073000394104,是,是,是,是,是,請補充個性特徵,是
992007300191210,,,,,,,
900073000197956,,,,,,,
900008800196912,,,,,,,
900073000585478,,,,,,,
900073000888919,,,,,,,
992007300055607,,,,,,,
992007300060391,,,,,,,
992007300060379,,,,,,,
900138001133845,,,,,,,
900073000881312,,,,,,,
900138001262352,,,,,,,
900073000076425,,,,,,,
900138001262360,,,,,,,
900073000076422,,,,,,,
900073000082113,,,,,,,
900073000100740,,,,,,,
900073000222473,,,,,,,
900138001020239,,,,,,,
900115000029271,,,,,,,
900073000751599,,,,,,,
900108001376238,,,,,,,
992007300092067,,,,,,,
992007300092068,,,,,,,
900138001271376,,,,,,,
900111881128755,,,,,,,
900073000442062,,,,,,,
945000009000208,,,,,,,
900250001028583,,,,,,,
990000000203970,,,,,,,
900255202317498,,,,,,,
992007300174510,遺失地點是否具體,是否包含毛色特徵,是否有清楚的特徵描述,遺失時間是否明確,資料是否適合公告,建議補充哪些資訊以增加協尋成功率,"是否有附圖片
是"
900073000383827,是,是,否,是,是,請補充更詳細的特徵描述、個性、是否結紮、有無晶片,是
900073000750947,否,否,否,是,否,請提供所有遺失寵物相關資訊,是
900073000375474,否,否,否,是,否,請提供所有遺失寵物相關資訊,是
900073000258533,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000493073,是,是,是,是,是,無,是
900138000761809,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000616718,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138001345381,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900219000072213,是,是,否,是,是,請補充更詳細的特徵描述、個性、是否結紮、有無晶片,是
900073000540663,是,是,否,是,是,請補充更詳細的特徵描述、個性、是否結紮、有無晶片,是
900073000888908,是,是,是,是,是,請補充個性特徵與是否有項圈,是
953010007682164,是,否,否,是,否,請提供毛色與更詳細的特徵描述、個性、是否結紮、有無晶片,是
900073000516169,是,是,否,是,是,請補充更詳細的特徵描述、個性、是否結紮、有無晶片,是
900073000771896,是,是,是,是,是,請補充個性特徵與是否有項圈,是
992007300122111,是,是,是,是,是,請補充個性特徵與是否有項圈,是
992007300169062,否,是,否,是,是,請提供更詳細的特徵描述、個性、遺失時是否有配戴項圈,是
900239877780872,是,是,是,是,是,請補充個性特徵,是
992007300169054,是,是,否,是,是,請補充更詳細的特徵描述、個性、是否結紮、有無晶片,是
900219001226493,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000029219,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138001161502,是,是,是,是,是,請補充寵物晶片號碼,是
900215000974306,是,是,是,是,是,請補充個性特徵與是否有項圈,是
990000000510188,是,是,是,是,是,請補充個性特徵,是
900073000775696,否,否,否,是,否,請提供所有遺失寵物相關資訊,是
953010005874551,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000606777,是,是,是,是,是,請補充個性特徵與是否有項圈,是
990000001142044,否,否,否,是,否,請提供所有遺失寵物相關資訊,是
900138001124533,否,否,否,是,否,請提供所有遺失寵物相關資訊,是
990002000139589,否,否,否,是,否,請提供所有遺失寵物相關資訊,是
900073000492851,否,否,否,是,否,請提供所有遺失寵物相關資訊,是
992007300170635,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000386980,是,是,否,是,是,請補充更詳細的特徵描述、個性、是否結紮、有無晶片,是
992007300171888,是,是,是,是,是,請補充個性特徵與是否有項圈,是
990000003674681,是,是,是,是,是,請補充寵物晶片號碼,是
981020000978228,是,是,是,是,是,請補充個性特徵與是否有項圈,是
990000001401121,否,否,否,是,否,請提供所有遺失寵物相關資訊,是
900073000437806,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000842385,是,是,否,是,是,請補充更詳細的特徵描述、個性、是否結紮、有無晶片,是
900138001351502,是,是,是,是,是,請補充個性特徵與是否有項圈,是
992001000224573,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000575484,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000575476,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000048891,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000390547,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000390504,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000386997,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000386983,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138001286463,是,是,是,是,是,請補充個性特徵與是否有項圈,是
992007300171870,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000279537,是,是,是,是,是,請補充個性特徵與是否有項圈,是
992007300157494,是,是,是,是,是,請補充個性特徵與是否有項圈,是
992007300157466,是,是,是,是,是,請補充個性特徵與是否有項圈,是
992007300157296,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138001086669,是,是,是,是,是,請補充個性特徵與是否有項圈,是
992007300157280,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138000945792,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138000945708,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138000945159,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138000945148,否,否,否,是,否,請提供所有遺失寵物相關資訊,是
900073000878260,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000539700,是,否,否,是,是,請補充毛色、更詳細的特徵描述、個性、是否結紮、有無晶片,是
900073000295476,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000295472,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000295471,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000295470,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000293748,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000293744,否,否,否,是,否,請提供所有遺失寵物相關資訊,是
900073000293742,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000266367,是,是,否,是,是,請補充更詳細的特徵描述、個性、是否結紮、有無晶片,是
900073000265168,是,是,否,是,是,請補充更詳細的特徵描述、個性、是否結紮、有無晶片,是
900073000266366,是,是,是,是,是,請補充個性特徵與是否有項圈,是
992007300110803,是,否,否,是,是,請補充毛色與更詳細的特徵描述、個性、是否結紮、有無晶片,是
900073000386887,是,是,否,是,是,請補充更詳細的特徵描述、個性、是否結紮、有無晶片,是
900138001358494,否,否,否,是,否,請提供所有遺失寵物相關資訊,是
900073000293746,是,是,是,是,是,請補充個性特徵與是否有項圈,是
953010003723795,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900219001225444,是,是,否,是,是,請補充更詳細的特徵描述、個性、是否結紮、有無晶片,是
900219001229964,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000744341,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138001353829,是,是,是,是,是,請補充個性特徵與是否有項圈,是
992007300202199,是,是,是,是,是,請補充個性特徵與是否有項圈,是
992007300173207,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000483971,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138001197027,是,是,是,是,是,請補充個性特徵與是否有項圈,是
990002000126180,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138000582108,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900219000469821,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900005761119651,是,是,是,是,是,請補充個性特徵與是否有項圈,是
990002000144836,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138001392624,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000263497,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138000775096,是,是,是,是,是,請補充個性特徵,是
900138001251474,是,是,是,是,是,請補充個性特徵與是否有項圈,是
992007300007957,是,是,是,是,是,請補充個性特徵,是
992007300007967,是,是,否,是,是,請補充更詳細的特徵描述、個性、是否結紮、有無晶片,是
900073000599742,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138001371626,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138001339969,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900250000409206,是,是,否,是,是,請補充更詳細的特徵描述、個性、是否結紮、有無晶片,是
990000001399901,遺失地點是否具體,是否包含毛色特徵,是否有清楚的特徵描述,遺失時間是否明確,資料是否適合公告,建議補充哪些資訊以增加協尋成功率,"是否有附圖片
否"
158097000295655,否,否,否,是,否,請補充遺失地點、毛色、外觀、特徵,是
900138001214561,是,是,是,是,是,無,是
990002000119525,是,是,否,是,否,請補充清楚的特徵描述,是
990002000146355,是,是,否,是,否,請補充清楚的特徵描述,是
953010007680443,是,是,否,是,否,請補充清楚的特徵描述,是
900138001293367,是,是,是,是,是,無,是
900073000320751,是,是,否,是,是,請補充清楚的特徵描述,是
900073000347837,是,是,否,是,是,請補充清楚的特徵描述,是
900138000905803,是,是,否,是,否,請補充清楚的特徵描述,是
900250000660614,否,否,否,是,否,請補充遺失地點、毛色、外觀、特徵,是
990000000255363,是,否,否,是,否,請補充毛色、外觀、特徵,是
900138000948540,是,否,否,是,否,請補充毛色、外觀、特徵,是
990000001399902,是,否,否,是,否,請補充毛色、外觀、特徵,是
900073000386188,是,否,否,是,否,請補充毛色、外觀、特徵,是
992007300113889,是,是,是,是,是,無,是
992007300112417,是,否,否,是,否,請補充毛色、外觀、特徵,是
900073000587843,是,是,是,是,是,無,是
992007300139610,否,是,否,是,否,請補充遺失地點、清楚的特徵描述,是
992007300139611,否,是,否,是,否,請補充遺失地點、清楚的特徵描述,是
900138001388448,是,是,是,是,是,無,是
990002000107596,是,是,否,是,否,請補充清楚的特徵描述,是
990002000107581,是,是,否,是,否,請補充清楚的特徵描述,是
990000000509513,是,是,是,是,是,請提供更詳細的走失時間,是
900073000189770,是,是,是,是,是,無,是
900138001221596,否,否,否,是,否,請補充遺失地點、毛色、外觀、特徵,是
990000001996024,是,是,否,是,否,請補充清楚的特徵描述,是
900073000541607,是,是,是,是,是,無,是
900073000601129,是,是,否,是,否,請補充清楚的特徵描述,是
900138000372943,否,否,否,是,否,請補充遺失地點、毛色、外觀、特徵,是
992007300159808,是,否,是,是,否,請補充毛色,是
158100965292396,否,否,否,是,否,請補充遺失地點、毛色、外觀、特徵,是
900138001189536,是,是,是,是,是,無,是
900073000864219,是,是,是,是,是,無,是
900073000694740,是,是,是,是,是,無,是
992007300158455,是,是,否,是,否,請補充清楚的特徵描述,是
900138001372645,是,是,是,是,是,無,是
990002000143545,是,是,是,是,是,無,是
900138001337459,是,是,是,是,是,請提供更詳細的走失時間,是
900073000386191,是,否,否,是,否,請補充毛色、外觀、特徵,是
900138001361313,是,是,否,是,否,請補充清楚的特徵描述,是
900128001429890,是,是,否,是,否,請補充清楚的特徵描述,是
900073000886045,是,是,是,是,是,無,是
990000000035196,是,是,是,是,是,無,是
900073000823923,是,是,是,是,是,無,是
981020000509505,是,是,是,是,是,無,是
900073000816494,是,否,否,是,否,請補充毛色、外觀、特徵,是
990002000030822,是,是,否,是,否,請補充清楚的特徵描述,是
900250000408477,是,是,否,是,否,請補充清楚的特徵描述,是
900073000593508,是,是,是,是,是,無,是
900073000694849,是,是,是,是,是,無,是
900073000607495,是,是,否,是,否,請補充清楚的特徵描述,是
900073000610149,是,是,否,是,否,請補充清楚的特徵描述,是
900073000423509,是,是,是,是,是,無,是
900138000564530,是,是,否,是,否,請補充清楚的特徵描述,是
992007300172794,是,是,是,是,是,無,是
900073000592813,是,是,是,是,是,無,是
990002000003938,是,是,是,是,是,無,是
992007300165773,是,是,否,是,否,請補充清楚的特徵描述,是
992007300165377,是,是,是,是,是,無,是
992007300165307,是,是,否,是,否,請補充清楚的特徵描述,是
992007300165357,是,是,是,是,是,無,是
900073000751585,是,是,是,是,是,無,是
900073000751576,是,是,是,是,是,無,是
992007300095813,是,是,是,是,是,請補充寵物是否結紮,是
900138000506839,是,是,否,是,否,請補充清楚的特徵描述,是
953010000002700,是,是,是,是,是,無,是
900073000908070,是,是,否,是,否,請補充清楚的特徵描述,是
900073000826657,是,是,是,是,是,無,是
900073000589883,是,是,是,是,是,無,是
900073000392518,是,是,是,是,是,無,是
900073000392388,是,是,否,是,否,請補充清楚的特徵描述,是
900073000392511,是,是,是,是,是,無,是
900128000041171,是,是,否,是,否,請補充清楚的特徵描述,是
900138001372372,是,是,是,是,是,無,是
900073000392507,是,是,是,是,是,無,是
900073000392542,是,是,是,是,是,無,是
900073000392360,是,是,是,是,是,無,是
900250000853086,是,否,否,是,否,請補充毛色、外觀、特徵,是
900138001345527,是,是,否,是,否,請補充清楚的特徵描述,是
900073000771236,是,是,是,是,是,無,是
900138001393424,是,是,是,是,是,無,是
900073000059279,是,是,是,是,是,無,是
900073000264711,是,是,是,是,是,無,是
953010004730164,是,是,是,是,是,無,是
900250001028604,是,是,是,是,是,無,是
900073000377902,是,是,否,是,否,請補充清楚的特徵描述,是
900201809657795,是,是,否,是,否,請補充清楚的特徵描述,是
900073000680340,是,是,否,是,否,請補充清楚的特徵描述,是
900182000755032,是,是,是,是,是,無,是
900138001261197,否,否,否,是,否,請補充遺失地點、毛色、外觀、特徵,是
900138000679344,是,是,否,是,否,請補充清楚的特徵描述,是
900111881548288,是,是,否,是,否,請補充清楚的特徵描述,是
900073000671278,是,是,否,是,否,請補充清楚的特徵描述,是
900138001282583,是,是,是,是,是,無,是
990002000083421,是,是,否,是,否,請補充清楚的特徵描述,是
953010100474851,是,是,是,是,是,無,是
992007300098341,是,是,是,是,是,請補充遺失時間,是
900073000123467,,,,,,,
900073000134290,,,,,,,
900073000134290,遺失地點是否具體,是否包含毛色特徵,是否有清楚的特徵描述,遺失時間是否明確,資料是否適合公告,建議補充哪些資訊以增加協尋成功率,"是否有附圖片
是"
900073000134290,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000493920,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138001389802,是,是,否,是,是,請補充更詳細的特徵描述,是
900073000756862,是,是,是,是,是,請補充個性特徵與是否有項圈,是
158097005397336,是,是,否,是,是,請補充更詳細的特徵描述與個性,是
992007300097764,是,否,否,是,否,請補充毛色、外觀、更詳細的特徵描述與個性,是
992007300098635,是,是,否,是,是,請補充更詳細的特徵描述與個性,是
900250000983349,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900215002494312,是,是,是,是,是,請補充個性特徵,是
900073000351254,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138001017438,是,是,否,是,是,請補充更詳細的特徵描述與個性,是
900073000347278,是,是,否,是,是,請補充更詳細的特徵描述與個性,是
900138001344333,否,是,否,是,否,請補充更詳細的遺失地點與特徵描述,是
900073000743465,否,是,否,是,否,請補充更詳細的遺失地點與特徵描述,是
900138001310849,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900128000458953,是,是,是,是,是,請補充個性特徵與是否有項圈,是
990000000002880,是,是,否,是,是,請補充更詳細的特徵描述,是
992007300083681,否,是,是,是,是,請補充更精確的遺失地點,是
900138000398875,是,否,否,是,否,請補充毛色、外觀、更詳細的特徵描述與個性,是
900138001332695,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900138000863824,否,否,否,是,否,請補充遺失地點、毛色、外觀、更詳細的特徵描述與個性,是
900073000744900,否,否,否,是,否,請補充更詳細的遺失地點、毛色、外觀、特徵與個性,是
900073000823302,否,否,否,是,否,請補充更詳細的遺失地點、毛色、外觀、特徵與個性,是
900073000756814,否,否,是,是,否,請補充毛色,是
900073000880004,是,是,否,是,是,請補充更詳細的特徵描述與個性,是
900073000115659,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900239878001522,是,是,是,是,是,請補充個性特徵,是
900250001063846,是,是,是,是,是,請補充個性特徵與品種資訊,是
900138001227084,是,是,是,是,是,請補充個性特徵與品種資訊,是
900073000816355,是,是,是,是,是,請補充個性特徵,是
900073000367213,是,是,是,是,是,請補充個性特徵,是
900138001215528,是,否,否,是,否,請補充毛色、外觀、更詳細的特徵描述與個性,是
900219000621735,是,是,否,是,是,請補充更詳細的特徵描述與個性,是
900138001337752,是,是,是,是,是,請補充個性特徵,是
900073000394027,是,是,否,是,是,請補充更詳細的特徵描述,是
152227083A,是,是,是,是,是,請補充個性特徵與是否有項圈,是
